id,title
18322815, Sushi
18332641,Vietnamese
18339953,Cafe
18339953, Bakery
18339953, Asian
18340016,Asian
18340016, Dumplings
18349864,Cafe
18349864, Middle Eastern
18349864, Modern European
18374631,Vietnamese
18374662,Pizza
18376825,Cafe
18376825, Coffee and Tea
18381095,Cafe
18381095, Coffee and Tea
18381095, Modern Australian
18382793,Cafe
18382793, Coffee and Tea
18387136,Burmese
18387166,Asian
18387166, Chinese
18393143,Fish and Chips
18394217,Cafe
18394217, Coffee and Tea
18398240,Cafe
18459970,Burger
18459970, Cafe
18465581,Korean
18487887,Cafe
18487887, Coffee and Tea
16577254,Asian
16577254, Thai
16578943,Latin American
16578943, Southern
16711208,Indian
16712702,Modern Australian
16713365,Cafe
16713365, American
16713365, Coffee and Tea
16713926,Italian
16713926, Pizza
17868125,Asian
17868125, Tapas
17986273,Japanese
18017125,Dumplings
18022014,American
18151473,Malaysian
18158071,Italian
18158071, Pizza
18163576,Korean
18167979,American
18167979, BBQ
18198647,Japanese
18235088,Cafe
18235088, Coffee and Tea
18235632,Chinese
18237572,Singaporean
18237572, Malaysian
18239665,Cafe
18242034,Malaysian
18242034, Chinese
18242488,Chinese
18242488, Yum Cha
18261629,Korean
18261629, Asian
18261629, Bar Food
18273411,Italian
18273411, Pizza
18279056,Indian
18279606,Cafe
18279606, Healthy Food
18307674,French
18307674, Cafe
18307674, European
18307674, Coffee and Tea
18316755,Cafe
18316755, Australian
18316755, Coffee and Tea
18317165,Korean
18320083,Korean
18320083, Bar Food
18320083, Asian
18332153,Modern Australian
18332153, Pizza
18337933,Malaysian
18340968,Korean
18340968, Asian
18340968, Bar Food
18354556,Japanese
18361607,Seafood
18361607, Fish and Chips
18363725,Indian
18374665,Indian
18381077,Japanese
18381077, Sushi
18387174,Italian
18393153,Japanese
18398437,Steak
18398437, Grill
18401497,Chinese
18401497, Dumplings
18401512,Bar Food
18409705,Malaysian
18409705, Asian
18409961,Chinese
18409961, Dumplings
18418600,Italian
18418622,Japanese
18421706,Cafe
18421706, Coffee and Tea
18423951,Korean
18423951, Bar Food
18423951, Asian
18427115,Chinese
18442235,Poké
18452703,Vietnamese
18452703, Asian
18452703, Contemporary
18462169,Chinese
18466335,Japanese
18466464,Malaysian
18466464, Chinese
16571545,Italian
16571545, Pizza
16571861,BBQ
16571861, Steak
16580109,Japanese
16580109, Sushi
18024985,Contemporary
18198271,Sushi
18198271, Japanese
18239701,French
18256281,Italian
18269249,Modern Australian
18343871,Israeli
18345069,Steak
18421783,Mexican
18437851,Thai
16600037,Bar Food
16600433,Pizza
16600433, Ice Cream
16597131,Cafe
16597050,Seafood
16597050, Italian
16598035,Bar Food
16600616,Tapas
16596228,Pub Food
16596228, Bar Food
16596350,Thai
16596892,Indian
16596680,Bar Food
16541753,Cafe
16541753, Italian
16595749,Indian
16597165,Cafe
16598648,Fast Food
16598822,Pizza
16598822, Sandwich
16598822, Healthy Food
16599018,Healthy Food
16599418,Asian
16599418, Japanese
16599519,Cafe
16599519, Desserts
16599519, Sandwich
16599615,Cafe
16599615, Desserts
16599615, European
16600113,Sandwich
16600113, Coffee and Tea
16600676,Japanese
16600676, Sushi
16600859,Japanese
16600859, Sushi
16601215,Cafe
16601215, Desserts
16601215, Beverages
16601287,Asian
16601287, Coffee and Tea
16601287, Vietnamese
17973914,Cafe
17973914, Healthy Food
18156142,Bakery
18157266,BBQ
18282776,Cafe
18331735,Cafe
18331735, Coffee and Tea
18364260,Cafe
18364260, Coffee and Tea
16595851,Cafe
16595851, Modern Australian
16596093,Japanese
16596093, Sushi
16596238,Japanese
16596238, Ramen
16596416,Coffee and Tea
16596416, Italian
16596416, Pizza
16596425,Japanese
16596425, Sushi
16596426,Japanese
16596426, Sushi
16596629,Japanese
16596629, Korean
16596701,Cafe
16596701, French
16596767,Burger
16596767, Steak
16596767, Modern Australian
16596785,Korean
16596785, Asian
16597153,Asian
16597153, Malaysian
16597388,Korean
16597388, BBQ
16598431,Modern Australian
16598431, Cafe
16598603,Fast Food
16598603, Mexican
16599078,Vietnamese
16599537,Mexican
16599556,Burger
16599556, Healthy Food
16599559,Cafe
16599559, Coffee and Tea
16599573,Burger
16599573, Healthy Food
16599629,Cafe
16599629, Modern Australian
16599893,Cafe
16599893, Modern Australian
16599948,Australian
16599948, Coffee and Tea
16599948, European
16599948, Tapas
16600075,Japanese
16600075, Sushi
16600598,Vietnamese
16600598, Cafe
16600685,Asian
16600685, Malaysian
16600753,Vietnamese
16601106,Fast Food
16601106, Healthy Food
16601106, Mexican
16601169,Desserts
16601169, Cafe
16601482,Fast Food
16601482, Healthy Food
16601482, Mexican
16601637,American
16601637, Spanish
16602031,Chinese
16602031, Yum Cha
17837587,Korean
17837587, BBQ
17841681,Fast Food
17841681, Healthy Food
17841681, Mexican
17841759,Japanese
17841759, Korean
18156150,Cafe
18156150, Sandwich
18248971,Asian
18333272,Chinese
16541747,American
16541747, Pizza
16541747, Burger
16541770,American
16541770, Burger
16595852,Cafe
16595852, Modern Australian
16595970,Cafe
16595970, Coffee and Tea
16595970, Modern Australian
