,Title,Awards,Wins,Nominations,Bafta_Nominations,Oscar_Nominations,Prime_Nominations,Golden_Globe_Nominations,Bafta_Wins,Oscar_Wins,Prime_Wins,Golden_Globe_Wins
244,15 Storeys High,1 nomination.,0,1,0,0,0,0,0,0,0,0
245,20 Things to Do Before You're 30,,0,0,0,0,0,0,0,0,0,0
246,3001: A Sex Oddity,,0,0,0,0,0,0,0,0,0,0
247,Introducing B2K,,0,0,0,0,0,0,0,0,0,0
248,A Land Worth Loving,,0,0,0,0,0,0,0,0,0,0
249,Cruce de caminos,,0,0,0,0,0,0,0,0,0,0
250,Looking for Bobby D,,0,0,0,0,0,0,0,0,0,0
251,It's My Life,,0,0,0,0,0,0,0,0,0,0
252,Phantom,,0,0,0,0,0,0,0,0,0,0
253,A calzón quitao,,0,0,0,0,0,0,0,0,0,0
254,Broken,,0,0,0,0,0,0,0,0,0,0
255,Donkey Town,,0,0,0,0,0,0,0,0,0,0
256,Annemie Hülchrath - Der Talk,1 nomination.,0,1,0,0,0,0,0,0,0,0
257,The Making of 'Frailty',,0,0,0,0,0,0,0,0,0,0
258,Love Hurts,,0,0,0,0,0,0,0,0,0,0
259,Tea,,0,0,0,0,0,0,0,0,0,0
260,Superjoint Ritual: Live in Dallas; Texas,,0,0,0,0,0,0,0,0,0,0
261,100 minutes pour convaincre,,0,0,0,0,0,0,0,0,0,0
262,Aachi International,,0,0,0,0,0,0,0,0,0,0
263,$40 a Day,,0,0,0,0,0,0,0,0,0,0
264,25 - Das Magazin,,0,0,0,0,0,0,0,0,0,0
265,The Keys,,0,0,0,0,0,0,0,0,0,0
266,Asmali konak,,0,0,0,0,0,0,0,0,0,0
267,atHome,,0,0,0,0,0,0,0,0,0,0
268,InuYasha the Movie 2: The Castle Beyond the Looking Glass,,0,0,0,0,0,0,0,0,0,0
269,Football's True Colours,,0,0,0,0,0,0,0,0,0,0
270,Kiss,,0,0,0,0,0,0,0,0,0,0
271,Depth Charge: Underwater Robot Challenge,,0,0,0,0,0,0,0,0,0,0
272,22 minutes chrono,,0,0,0,0,0,0,0,0,0,0
273,A Place in France,,0,0,0,0,0,0,0,0,0,0
274,Outside Looking In: Transracial Adoption in America,,0,0,0,0,0,0,0,0,0,0
275,All Request Hour,,0,0,0,0,0,0,0,0,0,0
276,Anton - min hemmelige ven II,,0,0,0,0,0,0,0,0,0,0
