word,frequency,rank
join,121,1463
weather,121,1464
burned,120,1465
vision,120,1466
suburbs,120,1467
knowest,120,1468
middleton,120,1469
caused,120,1470
jonathan,120,1471
pit,120,1472
portion,120,1473
divided,120,1474
coat,120,1475
plague,120,1476
engagement,119,1477
branches,119,1478
riches,119,1479
russell,119,1480
waste,119,1481
yellow,119,1482
frederick,119,1483
trying,119,1484
chariots,119,1485
burning,119,1486
cease,119,1487
fourth,119,1488
twice,119,1489
shoulder,119,1490
agreeable,119,1491
reproach,119,1492
march,118,1493
giue,118,1494
woods,118,1495
circumstance,118,1496
garments,118,1497
allow,118,1498
breakfast,118,1499
complete,118,1500
fly,118,1501
loue,118,1502
beard,118,1503
tender,118,1504
winds,118,1505
whilst,118,1506
news,118,1507
during,117,1508
linen,117,1509
bird,117,1510
duty,117,1511
everlasting,117,1512
fury,117,1513
ha,117,1514
generation,117,1515
firstborn,117,1516
leg,117,1517
saints,117,1518
season,117,1519
suffered,116,1520
advantage,116,1521
minister,116,1522
brandon,116,1523
yesterday,116,1524
superior,116,1525
violence,116,1526
supper,116,1527
police,116,1528
lose,116,1529
wonderful,116,1530
eve,116,1531
wherewith,115,1532
basket,115,1533
pardon,115,1534
unless,115,1535
feed,115,1536
ancient,115,1537
waited,115,1538
extremely,115,1539
shake,115,1540
borne,114,1541
liberty,114,1542
presently,114,1543
shot,114,1544
youll,114,1545
officers,114,1546
states,114,1547
powers,114,1548
creatures,114,1549
cover,114,1550
oxen,114,1551
wash,114,1552
steady,114,1553
snow,114,1554
voices,114,1555
whaling,114,1556
dreadful,114,1557
beheld,114,1558
neighbours,113,1559
grand,113,1560
bid,113,1561
joe,113,1562
exceedingly,113,1563
delighted,113,1564
judged,113,1565
generally,113,1566
flee,113,1567
prey,113,1568
increased,112,1569
vessel,112,1570
cursed,112,1571
innocent,112,1572
crowd,112,1573
desired,112,1574
upright,112,1575
loss,112,1576
holding,112,1577
surprised,112,1578
blessing,112,1579
drawing,112,1580
gregory,111,1581
created,111,1582
jem,111,1583
sunday,111,1584
anxious,111,1585
scattered,111,1586
shop,111,1587
windows,111,1588
prepare,111,1589
note,111,1590
whenever,111,1591
musgrove,111,1592
latter,111,1593
pull,111,1594
goodness,111,1595
thousands,111,1596
outside,111,1597
stretched,111,1598
history,111,1599
eager,110,1600
tower,110,1601
bullock,110,1602
threw,110,1603
lad,110,1604
fought,110,1605
confess,110,1606
egyptians,110,1607
dropped,110,1608
weight,109,1609
attachment,109,1610
acquainted,109,1611
french,109,1612
listen,109,1613
gentle,109,1614
modern,109,1615
weak,109,1616
ferrars,109,1617
ended,109,1618
clay,109,1619
expect,109,1620
price,109,1621
driven,108,1622
step,108,1623
obey,108,1624
distress,108,1625
scene,108,1626
pocket,108,1627
awake,108,1628
anointed,108,1629
separate,108,1630
idols,108,1631
talbot,108,1632
substance,108,1633
opening,108,1634
comfortable,108,1635
winter,108,1636
signs,108,1637
hamlet,108,1638
breadth,108,1639
spare,108,1640
hor,107,1641
ile,107,1642
gospel,107,1643
solemn,107,1644
committed,107,1645
rod,107,1646
troubled,107,1647
famine,107,1648
jeroboam,107,1649
reach,107,1650
